Date,Net Asset Value,Repurchase Price,Sale Price
01-06-2017,,10.7846,10.8116
02-06-2017,10.8189,,10.8189
05-06-2017,10.8105,10.7835,10.8105
06-06-2017,10.8205,10.7934,10.8205
07-06-2017,10.8925,10.8653,10.8925
08-06-2017,10.9383,10.911,10.9383
09-06-2017,10.9641,10.9367,
12-06-2017,10.9615,10.9341,10.9615
13-06-2017,10.8806,10.8534,10.8806
14-06-2017,10.8924,10.8652,10.8924
15-06-2017,10.8897,10.8625,10.8897
16-06-2017,10.8826,10.8554,10.8826
19-06-2017,10.8915,10.8643,10.8915
20-06-2017,10.8985,10.8713,10.8985
21-06-2017,10.9123,10.885,10.9123
22-06-2017,10.9018,10.8745,10.9018
23-06-2017,10.9026,10.8753,10.9026
27-06-2017,10.8964,10.8692,10.8964
28-06-2017,10.8795,10.8523,10.8795
29-06-2017,10.8762,10.849,10.8762
30-06-2017,10.8738,10.8466,10.8738
03-07-2017,10.8267,10.7996,10.8267
04-07-2017,10.8337,10.8066,10.8337
05-07-2017,10.8455,10.8184,10.8455
06-07-2017,10.8747,10.8475,10.8747
07-07-2017,10.8791,10.8519,10.8791
10-07-2017,10.8901,10.8629,10.8901
11-07-2017,10.8917,10.8645,10.8917
12-07-2017,10.8953,10.8681,10.8953
13-07-2017,10.9081,10.8808,10.9081
14-07-2017,10.9038,10.8765,10.9038
17-07-2017,10.9119,10.8846,10.9119
18-07-2017,10.9198,10.8925,10.9198
19-07-2017,10.934,10.9067,10.934
20-07-2017,10.9415,10.9141,10.9415
21-07-2017,10.9721,10.9447,10.9721
24-07-2017,10.9879,10.9604,10.9879
25-07-2017,10.9755,10.9481,10.9755
26-07-2017,10.9679,10.9405,10.9679
27-07-2017,10.9613,10.9339,10.9613
28-07-2017,10.9578,10.9304,10.9578
31-07-2017,10.9491,10.9217,10.9491
01-08-2017,10.9591,10.9317,10.9591
02-08-2017,10.9612,10.9338,10.9612
03-08-2017,11.012,10.9845,11.012
04-08-2017,11.0242,10.9966,11.0242
07-08-2017,11.0157,10.9882,11.0157
08-08-2017,11.0188,10.9913,11.0188
09-08-2017,11.0132,10.9857,11.0132
10-08-2017,11.0017,10.9742,11.0017
11-08-2017,10.9896,10.9621,10.9896
14-08-2017,10.9919,10.9644,10.9919
16-08-2017,10.9864,10.9589,10.9864
18-08-2017,10.9947,10.9672,10.9947
21-08-2017,10.9921,10.9646,10.9921
22-08-2017,10.9908,10.9633,10.9908
23-08-2017,10.9944,10.9669,10.9944
24-08-2017,11.0057,10.9782,11.0057
28-08-2017,10.9957,10.9682,10.9957
29-08-2017,11.0238,10.9962,11.0238
30-08-2017,11.0217,10.9941,11.0217
31-08-2017,11.021,10.9934,11.021
01-09-2017,11.036,11.0084,11.036
04-09-2017,11.0382,11.0106,11.0382
05-09-2017,11.0384,11.0108,11.0384
06-09-2017,11.0474,11.0198,11.0474
07-09-2017,11.0485,11.0209,11.0485
08-09-2017,11.0481,11.0205,11.0481
11-09-2017,11.0396,11.012,11.0396
12-09-2017,11.0321,11.0045,11.0321
13-09-2017,10.85,10.8229,10.85
14-09-2017,10.8519,10.8248,10.8519
15-09-2017,10.843,10.8159,10.843
18-09-2017,10.8462,10.8191,10.8462
19-09-2017,10.8483,10.8212,10.8483
20-09-2017,10.8645,10.8373,10.8645
21-09-2017,10.8048,10.7778,10.8048
22-09-2017,10.8073,10.7803,10.8073
25-09-2017,10.8393,10.8122,10.8393
